date_time,camera,video,trial,tank,group_ID,treatment,novel_numchases,novel_timechases,individual,latency,max_minus_lat
8/17/17,5,NA,2,9,4C,4,NA,NA,2,15,285
9/28/17,5,12,1,9,4C_2,4,2,1426,2,56,244
9/30/17,5,12,2,9,4C_2,4,10,8657,2,2,298
10/7/17,RH5,12,1,9,4C_3,4,0,0,2,5,295
10/9/17,5,1,2,9,4C_3,4,0,0,2,16,284
10/11/17,5,1,3,9,4C_3,4,0,0,2,10,290
8/15/17,5,NA,1,10,4D,4,9,17463,2,1,299
8/19/17,5,NA,3,10,4D,4,5,22926,2,2,298
8/17/17,5,NA,2,10,4D,4,NA,NA,2,1,299
9/28/17,5,12,1,10,4D_2,4,6,26220,2,5,295
9/30/17,5,12,2,10,4D_2,4,10,42633,2,4,296
10/2/17,5,1,3,10,4D_2,4,7,13173,2,4,296
10/7/17,RH5,12,1,10,4D_3,4,7,18914,2,4,296
10/9/17,5,1,2,10,4D_3,4,16,124685,2,2,298
10/11/17,5,1,3,10,4D_3,4,5,5806,2,3,297
8/15/17,2,NA,1,3,4E,4,12,35908,2,5,295
9/30/17,2,NA,2,3,4E_2,4,10,17698,2,4,296
9/28/17,2,2,1,3,4E_2,4,0,0,2,6,294
10/2/17,2,2,3,3,4E_2,4,8,18562,2,21,279
10/7/17,RH2,2,1,3,4E_3,4,1,983,2,11,289
8/15/17,2,NA,1,4,4F,4,17,34332,2,11,289
8/17/17,2,NA,2,4,4F,4,1,702,2,7,293
9/30/17,2,NA,2,4,4F_2,4,11,17597,2,4,296
9/28/17,2,2,1,4,4F_2,4,0,0,2,10,290
10/7/17,RH2,2,1,4,4F_3,4,5,8810,2,5,295
10/9/17,2,2,2,4,4F_3,4,7,18850,2,4,296
10/11/17,2,2,3,4,4F_3,4,0,0,2,3,297
